0.00,0.00,10.00,0.88,9.00,1.00,8.00,10.00
0.00,0.00,6.00,0.06,0.00,6.00,0.00,6.00
0.00,0.00,3.00,0.00,0.00,3.00,0.00,3.00
0.00,0.00,6.00,0.97,6.00,0.00,3.00,6.00
0.00,0.00,14.00,0.75,11.00,3.00,10.00,14.00
0.00,0.00,10.00,0.32,3.00,7.00,3.00,10.00
0.00,0.00,12.00,0.09,1.00,11.00,1.00,12.00
0.00,0.00,8.00,0.89,7.00,1.00,7.00,8.00
0.00,0.00,12.00,0.64,8.00,4.00,6.00,12.00
0.00,0.00,9.00,0.28,3.00,6.00,1.00,9.00
0.00,0.00,13.00,0.45,6.00,7.00,4.00,13.00
0.00,0.00,1.00,0.43,0.00,1.00,0.00,1.00
0.00,0.00,13.00,0.76,10.00,3.00,10.00,13.00
0.00,0.00,4.00,0.27,1.00,3.00,0.00,4.00
0.00,0.00,4.00,0.88,4.00,0.00,3.00,4.00
0.00,0.00,1.00,0.51,1.00,0.00,1.00,1.00
0.00,0.00,9.00,0.25,2.00,7.00,1.00,9.00
0.00,0.00,4.00,0.55,2.00,2.00,2.00,4.00
0.00,0.00,10.00,0.00,0.00,10.00,0.00,10.00
0.00,0.00,1.00,0.52,1.00,0.00,1.00,1.00
0.00,0.00,14.00,0.09,1.00,13.00,1.00,14.00
0.00,0.00,7.00,0.47,3.00,4.00,2.00,7.00
0.00,0.00,6.00,0.78,5.00,1.00,2.00,6.00
0.00,0.00,9.00,0.90,8.00,1.00,5.00,9.00
0.00,0.00,5.00,0.01,0.00,5.00,0.00,5.00
0.00,0.00,1.00,0.74,1.00,0.00,1.00,1.00
0.00,0.00,14.00,0.19,3.00,11.00,1.00,14.00
0.00,0.00,7.00,0.45,3.00,4.00,2.00,7.00
0.00,0.00,1.00,0.72,1.00,0.00,1.00,1.00
0.00,0.00,12.00,0.67,8.00,4.00,3.00,12.00
0.00,0.00,1.00,0.34,0.00,1.00,0.00,1.00
0.00,0.00,8.00,0.59,5.00,3.00,3.00,8.00
0.00,0.00,14.00,0.11,2.00,12.00,1.00,14.00
0.00,0.00,2.00,0.85,2.00,0.00,1.00,2.00
0.00,0.00,8.00,0.89,7.00,1.00,6.00,8.00
0.00,0.00,2.00,0.02,0.00,2.00,0.00,2.00
0.00,0.00,2.00,0.45,1.00,1.00,1.00,2.00
0.00,0.00,5.00,0.82,4.00,1.00,4.00,5.00
0.00,0.00,11.00,0.88,10.00,1.00,8.00,11.00
0.00,0.00,3.00,0.79,2.00,1.00,2.00,3.00
0.00,0.00,6.00,0.26,2.00,4.00,1.00,6.00
0.00,0.00,11.00,0.27,3.00,8.00,2.00,11.00
0.00,0.00,7.00,0.81,6.00,1.00,5.00,7.00
0.00,0.00,5.00,0.48,2.00,3.00,1.00,5.00
0.00,0.00,0.00,0.82,0.00,0.00,0.00,0.00
0.00,0.00,4.00,0.08,0.00,4.00,0.00,4.00
0.00,0.00,6.00,0.71,4.00,2.00,4.00,6.00
0.00,0.00,7.00,0.61,4.00,3.00,4.00,7.00
0.00,0.00,13.00,0.44,6.00,7.00,4.00,13.00
0.00,0.00,7.00,0.92,6.00,1.00,4.00,7.00
0.00,0.00,13.00,0.11,1.00,12.00,1.00,13.00
0.00,0.00,2.00,0.86,2.00,0.00,2.00,2.00
0.00,0.00,13.00,0.83,11.00,2.00,7.00,13.00
0.00,0.00,6.00,0.12,1.00,5.00,1.00,6.00
0.00,0.00,6.00,0.55,3.00,3.00,1.00,6.00
0.00,0.00,3.00,0.75,2.00,1.00,1.00,3.00
0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00
0.00,0.00,5.00,0.88,4.00,1.00,3.00,5.00
0.00,0.00,5.00,0.10,0.00,5.00,0.00,5.00
0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00
0.00,0.00,2.00,0.17,0.00,2.00,0.00,2.00
0.00,0.00,1.00,0.29,0.00,1.00,0.00,1.00
0.00,0.00,14.00,0.06,1.00,13.00,1.00,14.00
0.00,0.00,3.00,0.02,0.00,3.00,0.00,3.00
0.00,0.00,9.00,0.98,9.00,0.00,5.00,9.00
0.00,0.00,1.00,0.15,0.00,1.00,0.00,1.00
0.00,0.00,13.00,0.52,7.00,6.00,3.00,13.00
0.00,0.00,7.00,0.03,0.00,7.00,0.00,7.00
0.00,0.00,11.00,0.90,10.00,1.00,5.00,11.00
0.00,0.00,11.00,0.08,1.00,10.00,1.00,11.00
0.00,0.00,5.00,0.38,2.00,3.00,2.00,5.00
0.00,0.00,1.00,0.01,0.00,1.00,0.00,1.00
0.00,0.00,11.00,0.28,3.00,8.00,2.00,11.00
0.00,0.00,1.00,0.88,1.00,0.00,1.00,1.00
0.00,0.00,13.00,0.97,13.00,0.00,9.00,13.00
0.00,0.00,11.00,0.09,1.00,10.00,0.00,11.00
0.00,0.00,3.00,0.45,1.00,2.00,1.00,3.00
0.00,0.00,14.00,0.44,6.00,8.00,5.00,14.00
0.00,0.00,2.00,0.95,2.00,0.00,1.00,2.00
0.00,0.00,3.00,0.64,2.00,1.00,2.00,3.00
0.00,0.00,8.00,0.16,1.00,7.00,0.00,8.00
0.00,0.00,2.00,0.51,1.00,1.00,1.00,2.00
0.00,0.00,2.00,0.09,0.00,2.00,0.00,2.00
0.00,0.00,14.00,0.53,7.00,7.00,6.00,14.00
0.00,0.00,1.00,0.24,0.00,1.00,0.00,1.00
0.00,0.00,3.00,0.71,2.00,1.00,1.00,3.00
0.00,0.00,13.00,0.09,1.00,12.00,0.00,13.00
0.00,0.00,6.00,0.62,4.00,2.00,2.00,6.00
0.00,0.00,4.00,0.17,1.00,3.00,1.00,4.00
0.00,0.00,10.00,0.67,7.00,3.00,5.00,10.00
0.00,0.00,10.00,0.19,2.00,8.00,1.00,10.00
0.00,0.00,5.00,0.23,1.00,4.00,1.00,5.00
0.00,0.00,7.00,0.16,1.00,6.00,1.00,7.00
0.00,0.00,2.00,0.06,0.00,2.00,0.00,2.00
0.00,0.00,7.00,0.20,1.00,6.00,1.00,7.00
0.00,0.00,2.00,0.84,2.00,0.00,1.00,2.00
0.00,0.00,6.00,0.31,2.00,4.00,1.00,6.00
0.00,0.00,14.00,0.97,14.00,0.00,7.00,14.00
0.00,0.00,13.00,0.82,11.00,2.00,8.00,13.00
0.00,0.00,4.00,0.43,2.00,2.00,2.00,4.00
